"","log2FoldChange","padj"
"YDR342C",0.848157400800879,0
"YOR382W",3.95474702255015,0
"YOL155C",1.52952369436767,0
"YOR388C",1.49241315917145,0
"YOR383C",4.01703703210467,0
"YGL009C",0.983928703135062,0
"YPL272C",-2.47000690637149,0
"YPR060C",-5.55724342100493,0
"YMR058W",2.45925005409126,0
"YBR067C",0.59196937837548,0
"YBR249C",-2.68703041852725,0
"YJL100W",2.56047968978506,0
"YKL217W",0.476508134061123,0
"YKL187C",0.972990063060859,0
"YKL185W",-1.87291865190576,0
"YER145C",1.60910248108085,0
"YHR007C",-0.756825578007408,0
"YFL014W",0.564842837849016,0
"YEL065W",2.20253342938192,1.03400518306593e-286
"YIL136W",0.418596248175715,1.46553943303465e-266
"YGR192C",0.382587110698965,2.18628548132415e-257
"YMR303C",0.456309664249565,2.99492311485282e-257
"YOR374W",0.314074836461793,1.95445110851039e-242
"YHL040C",2.10656974936925,1.07617456626007e-241
"YLR136C",2.45157300676436,1.25832819617698e-230
"YHR050W-A",-3.53709145835464,1.85872786632729e-213
"YPR145C-A",-2.21997108965892,5.18621834270321e-202
"YOR302W",-1.36146999531635,3.76500783880006e-189
"YPL004C",0.554265336265313,7.16391996399252e-189
"YDR524W-C",-2.0347378286514,6.58832732971926e-187
"YDR384C",0.660405906825368,4.45869423022582e-183
"YPL223C",0.352412826026664,7.76235870296247e-181
"YIL155C",0.449004459555208,6.42739701758637e-176
"YDR365C",0.646934658997838,1.6905902901075e-172
"YFR053C",0.465129210277937,6.9723599927099e-172
"YDR256C",0.439580855041942,1.60579713794791e-162
"YPR036W-A",0.550061380766645,3.70858521028533e-155
"YGL255W",1.70953267510501,5.20027569862137e-151
"YJL200C",-0.793662843623578,3.69383453251043e-137
"YMR175W",0.643761620882804,7.49534620283119e-133
"YGR243W",0.574857913903577,4.19794021146194e-132
"YCR010C",0.50232100253908,7.71749604890696e-130
"YOL052C-A",0.439527389586308,1.05353013231259e-129
"YOL158C",1.89289531857905,2.12526634430066e-128
"YEL041W",0.815350705833077,2.50779914123988e-127
"YNL055C",0.389821351836361,5.69989367753791e-126
"YHL032C",0.828791867488032,6.3612055799462e-125
"YMR297W",0.475673021081355,2.56727834908829e-124
"YGR175C",-0.653114639946976,5.14593972260969e-122
"YAL054C",0.320456227073819,7.24758726589593e-121
"YPL276W",1.50855151858668,1.70563440508053e-118
"YJL159W",-0.340052789411856,2.28434086254046e-116
"YGR060W",-0.408183523688267,1.12387212008847e-114
"YMR015C",-0.657506433546419,3.9921497683023e-114
"YKR009C",0.343087394609349,1.04953568012166e-111
"YCL040W",0.406086397484724,1.24011527458452e-110
"YLR205C",0.96624534821658,2.97448013896569e-110
"YIL057C",0.663445897295213,1.34583315157527e-109
"YMR107W",0.304050206035963,2.96056798283951e-108
"YBR222C",-0.769302436290785,1.03915371623953e-103
"YNR002C",0.539861385419856,7.03567484890977e-103
"YDR343C",0.942851671879752,1.07941560670924e-102
"YML008C",-0.430298661282568,1.0869210148983e-102
"YKL096W-A",0.341414183356926,1.16798934361065e-102
"YIL160C",0.618057904212827,4.82039107651743e-101
"YNL036W",0.342422416049352,1.65852902467974e-99
"YMR011W",-0.521531422364517,2.25910614776415e-95
"YMR174C",0.470187585328414,3.17541878268593e-93
"YAL005C",0.297172525918239,7.13996543443264e-90
"YGL205W",0.352237260572563,1.5030561125148e-82
"YOL084W",0.782561498099293,6.18548345940584e-82
"YBR117C",0.623357733988306,1.72553377681247e-80
"YNL142W",-0.752616221827577,4.04352538310207e-80
"YPR145W",-0.537414721245246,9.42419289794765e-79
"YKL182W",-0.304163850870994,3.1388371539329e-77
"YDR133C",0.465075899791367,1.27993838413309e-76
"YJR109C",-0.515923336036903,1.53068970898962e-76
"YDR070C",0.379269078187346,1.91179729827615e-74
"YGR254W",0.402235432098477,2.80852493416777e-73
"YBR066C",-0.966900865554831,4.53397997568533e-73
"YER069W",-0.560496748698998,7.1372641104854e-72
"YCR012W",0.352825875860617,5.48964170339646e-71
"YHR174W",0.333580990599457,1.03569526276066e-70
"YBL100C",-1.0694147847252,1.29770709820235e-69
"YCR018C",0.913453399597308,6.26067475341227e-69
"YDL223C",0.398731980919645,2.24895676147113e-68
"YPR138C",0.520984212607561,5.55697510928446e-67
"YKL060C",0.185281757356418,1.0300500630174e-65
"YJR019C",0.789058048095343,1.14131093432184e-65
"YHR096C",0.290794021095414,1.56134162501562e-65
"YDL046W",0.43533787452628,4.25487871739881e-65
"YLR130C",0.934182373063412,1.53223961700365e-64
"YER015W",0.440896898233915,2.87155942752452e-64
"YHR208W",0.464155739431332,1.89824701363003e-62
"YER091C",-0.375675095992766,2.31054852430483e-61
"YGR289C",0.553020261618167,3.73540912680227e-61
"YOR384W",1.11846542647359,4.44088741977539e-61
"YHR018C",-0.456199582299683,1.25073654323172e-59
"YML128C",0.291808259737253,1.49484330425912e-59
"YPR001W",0.500454285287405,5.67779530766272e-58
"YDR234W",-0.573106399569282,7.74051153337339e-58
"YPL036W",0.489219923545564,1.09945391073254e-57
"YOR237W",-1.642856905677,1.04801957881604e-56
"YBR157C",-0.596713064192541,8.13827672232729e-55
"YHR183W",0.485345193794397,2.93069449915449e-54
"YBR143C",-0.595438026052313,6.45108355848243e-53
"YHR139C",-0.702398019250125,8.2958623534604e-53
"YDL085W",0.422860601267978,1.82179240165579e-52
"YBR298C",0.497536853385014,2.12115293134916e-52
"YNL037C",0.58473789568296,1.1459358495387e-51
"YPR002W",0.372929104159608,1.21324712775383e-51
"YBR149W",0.418691233108908,1.58988832004347e-51
"YPL154C",0.356127349588634,3.04841323904761e-51
"YLR056W",-0.27526636489018,3.95591362634165e-51
"YCL018W",0.780650490910465,3.38715981002771e-50
"YPR149W",0.254387630618978,4.48419243208278e-50
"YPR006C",0.431763214992007,1.56518414476528e-49
"YNL241C",0.421374827044434,1.88701104454082e-49
"YJL138C",-0.715069565921454,3.55119497659855e-48
"YMR206W",0.554811673167585,5.39899494066328e-48
"YNL173C",0.479422636832741,6.28578059858931e-48
"YDR270W",0.788576331970708,1.02778568993972e-47
"YJR009C",0.523160162090929,2.90485853207614e-47
"YGR087C",0.629095546711138,6.96844014894236e-47
"YOR285W",0.422787330273423,7.94767871971663e-47
"YBR115C",-0.534087482990502,1.28132611166065e-46
"YGR279C",0.612564416452649,5.35114322156719e-46
"YGR161C",-0.384241317213737,8.06567814354564e-46
