# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "Saccharomyces_cerevisiae.R64-1-1.106.gtf" "-o" "result.txt" "./Aligned_Files/ERR2198545.sam" "./Aligned_Files/ERR2198546.sam" "./Aligned_Files/ERR2198547.sam" "./Aligned_Files/ERR2198548.sam" "./Aligned_Files/ERR2198593.sam" "./Aligned_Files/ERR2198594.sam" "./Aligned_Files/ERR2198595.sam" "./Aligned_Files/ERR2198596.sam" 
Geneid	Chr	Start	End	Strand	Length	./Aligned_Files/ERR2198545.sam	./Aligned_Files/ERR2198546.sam	./Aligned_Files/ERR2198547.sam	./Aligned_Files/ERR2198548.sam	./Aligned_Files/ERR2198593.sam	./Aligned_Files/ERR2198594.sam	./Aligned_Files/ERR2198595.sam	./Aligned_Files/ERR2198596.sam
YDL246C	IV	8683	9756	-	1074	10	16	8	8	4	13	12	10
YDL243C	IV	17577	18566	-	990	177	215	179	190	260	266	216	207
YDR387C	IV	1248154	1249821	-	1668	373	319	297	316	288	360	233	277
YDL094C	IV	289572	290081	-	510	10	11	8	7	9	10	13	3
YDR438W	IV	1338274	1339386	+	1113	191	267	190	250	227	219	151	189
YDR523C	IV	1485566	1487038	-	1473	70	72	70	67	43	67	46	48
YDR542W	IV	1523249	1523611	+	363	0	1	0	0	1	1	0	0
YDR492W	IV	1434924	1435874	+	951	1260	1303	1147	1034	1057	1222	1053	971
YDR018C	IV	482670	483860	-	1191	432	479	439	398	527	480	468	411
YDL189W	IV	122216	123589	+	1374	641	702	626	623	513	514	456	414
YDR508C	IV	1466453	1468444	-	1992	591	616	496	540	267	304	289	292
YDR462W	IV	1386073	1386516	+	444	346	425	376	355	401	460	403	380
YDR175C	IV	813193	814152	-	960	542	607	544	491	415	472	411	387
YDR186C	IV	832859	835492	-	2634	3430	3551	3104	2951	2325	2489	2055	2018
YDR150W	IV	755628	763874	+	8247	2338	2290	1955	2030	1665	1708	1480	1454
YDR243C	IV	948518	950284	-	1767	155	184	139	153	136	117	107	98
YDL182W	IV	133437	134723	+	1287	1161	1266	1064	1056	979	1082	917	869
YDR362C	IV	1196679	1198697	-	2019	413	459	373	363	391	361	326	285
YDR232W	IV	927452	929098	+	1647	1179	1142	1025	1033	997	1039	950	880
YDR158W	IV	770357	771454	+	1098	1864	1928	1787	1777	1602	1654	1552	1428
YDR439W	IV	1339676	1340719	+	1044	254	273	254	268	200	218	183	169
YDL206W	IV	90176	92464	+	2289	432	494	426	406	322	301	246	233
YDR125C	IV	701397	702758	-	1362	189	209	153	149	168	168	138	147
YDR338C	IV	1147379	1149466	-	2088	324	336	280	277	263	280	259	239
YDR526C	IV	1491075	1491545	-	471	2	0	2	2	0	0	0	0
YDR533C	IV	1501447	1502160	-	714	782	849	705	719	882	886	777	831
YDR272W	IV	1009010	1009834	+	825	1214	1332	1081	1153	942	1095	928	877
YDR197W	IV	851228	852397	+	1170	448	421	373	395	326	332	257	295
YDR512C	IV	1470500	1471063	-	564	647	591	519	588	542	600	455	498
YDR489W	IV	1431012	1431896	+	885	135	172	82	112	97	82	74	96
YDR299W	IV	1059627	1061231	+	1605	546	635	469	572	364	382	315	340
YDL015C	IV	426002	426934	-	933	733	774	693	674	560	595	535	501
YDR304C	IV	1071880	1072557	-	678	832	841	793	776	842	845	659	688
YDR271C	IV	1008395	1008766	-	372	0	0	0	0	0	0	1	0
YDL181W	IV	135179	135436	+	258	799	945	774	783	836	968	788	842
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	125	127	84	98	69	79	71	85
YDR085C	IV	614288	616150	-	1863	1157	1255	1025	1027	920	980	855	717
YDL097C	IV	285391	286695	-	1305	2455	2633	2224	2260	2043	2150	1780	1903
YDL139C	IV	211375	212046	-	672	152	145	108	150	132	132	106	156
YDR200C	IV	854279	856093	-	1815	506	532	436	432	356	443	333	322
YDR191W	IV	842337	843449	+	1113	147	190	190	186	159	180	104	118
YDR451C	IV	1361120	1362181	-	1062	166	231	194	211	268	284	232	195
YDR469W	IV	1399015	1399542	+	528	285	321	255	263	234	222	218	224
YDR470C	IV	1399706	1401214	-	1509	489	594	439	445	414	422	363	446
YDR105C	IV	665349	666770	-	1422	645	675	663	563	570	668	579	568
YDR483W	IV	1421157	1422485	+	1329	1610	1567	1444	1402	1265	1266	1081	1120
YDL123W	IV	241418	241840	+	423	457	458	389	383	402	435	351	371
YDL199C	IV	101290	103353	-	2064	717	750	632	587	576	557	494	486
YDR505C	IV	1456695	1459220	-	2526	1474	1576	1284	1340	1086	1087	895	992
YDL045W-A	IV	372248	372535	+	288	203	248	205	155	220	196	155	164
YDL045C	IV	372688	373608	-	921	708	687	633	599	535	560	450	484
YDR361C	IV	1195412	1196263	-	852	274	260	229	275	193	183	136	148
YDR406W-A	IV	1283799	1284044	+	246	0	0	0	0	0	0	0	0
YDR199W	IV	854175	854540	+	366	14	13	9	8	7	4	3	1
YDR266C	IV	1000104	1002023	-	1920	528	638	583	483	320	382	335	276
YDL242W	IV	18959	19312	+	354	25	31	17	21	25	21	28	26
YDR002W	IV	453045	453650	+	606	596	714	550	584	467	511	396	394
YDR214W	IV	892875	893927	+	1053	4904	5176	4446	4351	4483	4707	4045	4022
YDR130C	IV	715747	716622	-	876	237	285	198	236	220	236	216	205
YDL176W	IV	142097	144223	+	2127	377	394	356	310	259	212	229	215
YDR358W	IV	1190059	1191732	+	1674	804	851	770	697	675	743	621	611
YDR544C	IV	1525095	1525523	-	429	1	0	0	0	1	2	0	1
YDR460W	IV	1383811	1384776	+	966	714	833	648	667	628	579	526	569
snR84	IV	1492477	1493026	-	550	27	30	27	28	21	22	16	17
YDR034W-B	IV	521314	521469	+	156	206	217	155	156	85	98	133	112
YDL028C	IV	400997	403291	-	2295	680	750	561	560	501	531	463	453
YDR061W	IV	574164	575783	+	1620	634	614	501	486	453	453	457	493
YDR060W	IV	570649	573726	+	3078	1313	1439	1227	1179	788	898	762	846
YDR169C-A	IV	794574	794723	-	150	26	33	27	25	31	40	28	21
YDR363W	IV	1199183	1200553	+	1371	325	355	318	243	261	254	198	252
YDR422C	IV	1315326	1317773	-	2448	594	603	539	520	431	542	397	406
YDR119W	IV	688227	690533	+	2307	511	483	509	441	370	386	349	346
tR(ACG)D	IV	619969	620041	-	73	0	0	0	0	0	0	0	1
YDR097C	IV	640109	643837	-	3729	738	852	701	645	493	585	483	561
YDR042C	IV	540601	541203	-	603	33	27	47	38	21	20	18	21
YDL160C	IV	170410	171930	-	1521	322	401	364	333	316	336	257	264
YDR425W	IV	1320064	1321941	+	1878	509	486	437	425	370	347	301	349
snR13	IV	1402919	1403042	+	124	0	3	3	2	10	0	6	10
YDR228C	IV	921926	923806	-	1881	759	820	704	764	603	644	570	507
YDR319C	IV	1105003	1105827	-	825	255	309	261	233	180	217	195	157
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	1030	1130	823	975	896	945	773	759
YDR089W	IV	622112	624721	+	2610	348	312	331	302	280	285	221	228
tD(GUC)D	IV	568964	569035	+	72	0	0	0	0	0	0	0	0
YDR275W	IV	1012252	1012959	+	708	740	773	682	601	507	499	472	456
YDR043C	IV	542674	543369	-	696	1331	1367	1216	1100	1003	1061	969	882
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	2146	2049	2012	1806	1763	1786	1580	1542
YDR136C	IV	727711	728283	-	573	2	8	4	6	2	3	4	2
YDL066W	IV	334835	336121	+	1287	954	984	924	832	893	910	804	825
YDR302W	IV	1067731	1068390	+	660	298	301	245	248	210	181	114	141
YDR239C	IV	941057	943420	-	2364	308	356	306	339	249	262	225	277
YDR539W	IV	1512094	1513605	+	1512	220	233	219	162	208	267	170	206
tK(CUU)D1	IV	1201750	1201822	+	73	0	0	0	0	0	0	0	0
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	1184	1266	1089	1108	1108	1186	1069	943
YDR493W	IV	1436217	1436588	+	372	125	105	99	83	99	104	54	88
YDR101C	IV	655686	657467	-	1782	626	659	543	534	316	332	331	320
YDR182W-A	IV	829151	829354	+	204	19	33	31	20	15	17	19	27
YDR212W	IV	887232	888911	+	1680	821	922	830	807	603	679	615	635
YDR476C	IV	1410453	1411127	-	675	515	506	469	433	526	548	484	453
